ts,cwnd,rtx,txq,if,rcvd
10.520000,3,0,878,3,2
10.540000,3,0,876,3,2
10.560000,3,0,873,3,2
10.580000,3,0,870,3,2
10.600000,3,0,867,3,2
10.620000,3,0,864,3,2
10.640000,3,0,862,3,2
10.660000,3,0,859,3,2
10.680000,3,0,856,3,2
10.700000,3,0,853,3,2
10.720000,3,0,851,3,2
10.740000,3,0,848,3,2
10.760000,3,0,845,3,2
10.780000,3,0,842,3,2
10.800000,3,0,839,3,2
10.820000,3,0,837,3,2
10.840000,3,0,834,3,2
10.860000,3,0,831,3,2
10.880000,3,0,828,3,2
10.900000,3,0,826,3,2
10.920000,3,0,823,3,2
10.940000,3,0,820,3,2
10.960000,3,0,817,3,2
10.980000,3,0,814,3,2
11.000000,3,0,812,3,2
11.020000,3,0,809,3,2
11.040000,3,0,806,3,2
11.060000,3,0,803,3,2
11.080000,3,0,801,3,2
11.100000,3,0,798,3,2
11.120000,3,0,795,3,2
11.140000,3,0,792,3,2
11.160000,3,0,789,3,2
11.180000,3,0,787,3,2
11.200000,3,0,784,3,2
11.220000,3,0,781,3,2
11.240000,3,0,778,3,2
11.260000,3,0,776,3,2
11.280000,3,0,773,3,2
11.300000,3,0,770,3,2
11.320000,3,0,767,3,2
11.340000,3,0,764,3,2
11.360000,3,0,762,3,2
11.380000,3,0,759,3,2
11.400000,3,0,756,3,2
11.420000,3,0,753,3,2
11.440000,3,0,751,3,2
11.460000,3,0,748,3,2
11.480000,3,0,745,3,2
11.500000,3,0,742,3,2
11.520000,3,0,739,3,2
11.540000,3,0,737,3,2
11.560000,3,0,734,3,2
11.580000,3,0,731,3,2
11.600000,3,0,728,3,2
11.620000,3,0,726,3,2
11.640000,3,0,723,3,2
11.660000,3,0,720,3,2
11.680000,3,0,717,3,2
11.700000,3,0,714,3,2
11.720000,3,0,712,3,2
11.740000,3,0,709,3,2
11.760000,3,0,706,3,2
11.780000,3,0,703,3,2
11.800000,3,0,701,3,2
11.820000,3,0,698,3,2
11.840000,3,0,695,3,2
11.860000,3,0,692,3,2
11.880000,3,0,689,3,2
11.900000,3,0,687,3,2
11.920000,3,0,684,3,2
11.940000,3,0,681,3,2
11.960000,3,0,678,3,2
11.980000,3,0,676,3,2
12.000000,3,0,673,3,2
12.020000,3,0,670,3,2
12.040000,3,0,667,3,2
12.060000,3,0,664,3,2
12.080000,3,0,662,3,2
12.100000,3,0,659,3,2
12.120000,3,0,656,3,2
12.140000,3,0,653,3,2
12.160000,3,0,651,3,2
12.180000,3,0,648,3,2
12.200000,3,0,645,3,2
12.220000,3,0,642,3,2
12.240000,3,0,639,3,2
12.260000,3,0,637,3,2
12.280000,3,0,634,3,2
12.300000,3,0,631,3,2
12.320000,3,0,628,3,2
12.340000,3,0,626,3,2
12.360000,3,0,623,3,2
12.380000,3,0,620,3,2
12.400000,3,0,617,3,2
12.420000,3,0,614,3,2
12.440000,3,0,612,3,2
12.460000,3,0,609,3,2
12.480000,3,0,606,3,2
12.500000,3,0,603,3,2
12.520000,3,0,601,3,2
12.540000,3,0,598,3,2
12.560000,3,0,595,3,2
12.580000,3,0,592,3,2
12.600000,3,0,589,3,2
12.620000,3,0,587,3,2
