ts,cwnd,rtx,txq,if,rcvd
5.760000,3002,0,1663,2095,2
5.780000,3002,0,1661,2095,2
5.800000,3002,0,1658,2095,2
5.820000,3002,0,1655,2095,2
5.840000,3002,0,1652,2095,2
5.860000,3002,0,1650,2095,2
5.880000,3002,0,1647,2095,2
5.900000,3002,0,1644,2095,2
5.920000,3002,0,1641,2095,2
5.940000,3002,0,1638,2095,2
5.960000,3002,0,1636,2095,2
5.980000,3002,0,1633,2095,2
6.000000,3002,0,1630,2095,2
6.020000,3002,0,1627,2095,2
6.040000,3002,0,1625,2095,2
6.060000,3002,0,1622,2095,2
6.080000,3002,0,1619,2095,2
6.100000,3002,0,1616,2095,2
6.120000,3002,0,1613,2095,2
6.140000,3002,0,1611,2095,2
6.160000,3002,0,1608,2095,2
6.180000,3002,0,1605,2095,2
6.200000,3002,0,1602,2095,2
6.220000,3002,0,1600,2095,2
6.240000,3002,0,1597,2095,2
6.260000,3002,0,1594,2095,2
6.280000,3002,0,1591,2095,2
6.300000,3002,0,1588,2095,2
6.320000,3002,0,1586,2095,2
6.340000,3002,0,1583,2095,2
6.360000,3002,0,1580,2095,2
6.380000,3002,0,1577,2095,2
6.400000,3002,0,1575,2095,2
6.420000,3002,0,1572,2095,2
6.440000,3002,0,1569,2095,2
6.460000,3002,0,1566,2095,2
6.480000,3002,0,1563,2095,2
6.500000,3002,0,1561,2095,2
6.520000,3002,0,1558,2095,2
6.540000,3002,0,1555,2095,2
6.560000,3002,0,1552,2095,2
6.580000,3002,0,1550,2095,2
6.600000,3002,0,1547,2095,2
6.620000,3002,0,1544,2095,2
6.640000,3002,0,1541,2095,2
6.660000,3002,0,1538,2095,2
6.680000,3002,0,1536,2095,2
6.700000,3002,0,1533,2095,2
6.720000,3002,0,1530,2095,2
6.740000,3002,0,1527,2095,2
6.760000,3002,0,1525,2095,2
6.780000,3002,0,1522,2095,2
6.800000,3002,0,1519,2095,2
6.820000,3002,0,1516,2095,2
6.840000,3002,0,1513,2095,2
6.860000,3002,0,1511,2095,2
6.880000,3002,0,1508,2095,2
6.900000,3002,0,1505,2095,2
6.920000,3002,0,1502,2095,2
6.940000,3002,0,1500,2095,2
6.960000,3002,0,1497,2095,2
6.980000,3002,0,1494,2095,2
7.000000,3002,0,1491,2095,2
7.020000,3002,0,1488,2095,2
7.040000,3002,0,1486,2095,2
7.060000,3002,0,1483,2095,2
7.080000,3002,0,1480,2095,2
7.100000,3002,0,1477,2095,2
7.120000,3002,0,1475,2095,2
7.140000,3002,0,1472,2095,2
7.160000,3002,0,1469,2095,2
7.180000,3002,0,1466,2095,2
7.200000,3002,0,1463,2095,2
7.220000,3002,0,1461,2095,2
7.240000,3002,0,1458,2095,2
